year	cohort	proportion
2003	Gen1	0.1380033103
2003	Gen2	0.6510507448
2003	Gen3	0.2109459449
2004	Gen1	0.0854198072
2004	Gen2	0.5317260352
2004	Gen3	0.3828541576
2005	Gen1	0.0688982487
2005	Gen2	0.4849448807
2005	Gen3	0.4461568706
2006	Gen1	0.0565950503
2006	Gen2	0.411662928
2006	Gen3	0.5317420217
2007	Gen1	0.0576357319
2007	Gen2	0.4115279407
2007	Gen3	0.5308363274
2008	Gen1	0.0551192219
2008	Gen2	0.3799837095
2008	Gen3	0.5558325308
2008	Gen4	0.0090645377
2009	Gen1	0.0589188642
2009	Gen2	0.3669530186
2009	Gen3	0.5386016584
2009	Gen4	0.0355264589
2010	Gen1	0.0673850916
2010	Gen2	0.3174638553
2010	Gen3	0.5693918163
2010	Gen4	0.0457592368
2011	Gen1	0.0588312425
2011	Gen2	0.2685951582
2011	Gen3	0.6035231505
2011	Gen4	0.0690504489
2012	Gen1	0.0601568297
2012	Gen2	0.2555204934
2012	Gen3	0.5891771161
2012	Gen4	0.0951455607
2013	Gen1	0.061438854
2013	Gen2	0.253166321
2013	Gen3	0.5721875768
2013	Gen4	0.1132072481
2014	Gen1	0.0842298648
2014	Gen2	0.2402413331
2014	Gen3	0.537635081
2014	Gen4	0.137893721
2015	Gen1	0.0304133572
2015	Gen2	0.2490225611
2015	Gen3	0.5829264801
2015	Gen4	0.1376376016
2016	Gen1	0.0425863992
2016	Gen2	0.2717255835
2016	Gen3	0.5421183557
2016	Gen4	0.1435696616
2017	Gen1	0.0957295862
2017	Gen2	0.2324814551
2017	Gen3	0.5330371626
2017	Gen4	0.1387517961
2018	Gen1	0.1540965641
2018	Gen2	0.1903446683
2018	Gen3	0.4788509653
2018	Gen4	0.1767078023
2019	Gen1	0.1597073424
2019	Gen2	0.2508302165
2019	Gen3	0.4356926691
2019	Gen4	0.1537697719
2020	Gen1	0.2488088741
2020	Gen2	0.2288898247
2020	Gen3	0.4168024388
2020	Gen4	0.1054988624
2021	Gen1	0.2206064435
2021	Gen2	0.2418296823
2021	Gen3	0.4510329996
2021	Gen4	0.0865308746
2022	Gen1	0.302283609
2022	Gen2	0.1773110602
2022	Gen3	0.4500153281
2022	Gen4	0.0703900027
