period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Butterscotch	1975	3	4.0	0.0	4.0	0.0	1.0	5
	Doktorn	1972	2	1.0	0.0	1.0	0.0	1.0	4
	Tindrande	1983	4	1.0	1.0	0.0	1.0	0.0	7
	Fraggelgirl	1981	3	2.0	1.0	1.0	0.5	0.5	6
	JBC	1986	4	2.0	0.0	2.0	0.0	1.0	7
	Tokfia 7	1978	3	1.0	0.0	1.0	0.0	1.0	6
	Sparvöga	1980	3	1.0	0.0	1.0	0.0	1.0	6
	ewis1	1973	3	1.0	0.0	1.0	0.0	1.0	5
	Lindadjo	1978	3	4.0	0.0	4.0	0.0	1.0	6
	Humlemamma	1984	4	2.0	0.0	2.0	0.0	1.0	7
	musli	1972	2	2.0	0.0	2.0	0.0	1.0	4
	Nlie	1986	4	1.0	0.0	1.0	0.0	1.0	7
	Bonzan	1983	4	2.0	1.0	1.0	0.5	0.5	7
	fabler	1964	2	13.0	0.0	13.0	0.0	1.0	3
	Mirkamu	1973	3	1.0	1.0	0.0	1.0	0.0	5
	Dorian Ertymexx	1973	3	4.0	0.0	4.0	0.0	1.0	5
	JAG är BÄST	1973	3	1.0	0.0	1.0	0.0	1.0	5
	Mamsen1	1974	3	1.0	0.0	1.0	0.0	1.0	5
	Lisa1976	1977	3	1.0	0.0	1.0	0.0	1.0	5
	Näckros	1986	4	1.0	0.0	1.0	0.0	1.0	7
	Ummi07	1981	3	1.0	0.0	1.0	0.0	1.0	6
	Papi Jo	1977	3	1.0	0.0	1.0	0.0	1.0	5
	Afrodisiac	1979	3	1.0	1.0	0.0	1.0	0.0	6
	idiblon	1982	3	1.0	0.0	1.0	0.0	1.0	6
	Beckah82	1983	4	1.0	0.0	1.0	0.0	1.0	7
	Melike	1983	4	1.0	0.0	1.0	0.0	1.0	7
	Miss Cee	1981	3	1.0	0.0	1.0	0.0	1.0	6
	fruganL	1990	4	6.0	0.0	6.0	0.0	1.0	8
	rosen76	1977	3	1.0	0.0	1.0	0.0	1.0	5
	fröken	1977	3	1.0	0.0	1.0	0.0	1.0	5
	Ablan	1986	4	1.0	1.0	0.0	1.0	0.0	7
	EmmaOh	1980	3	1.0	0.0	1.0	0.0	1.0	6
	lokisse	1961	1	5.0	0.0	5.0	0.0	1.0	3
	mirre67	1968	2	3.0	0.0	3.0	0.0	1.0	4
	Trissvinnaren	1974	3	1.0	0.0	1.0	0.0	1.0	5
	Kina79	1980	3	1.0	0.0	1.0	0.0	1.0	6
	LitenIsa	1983	4	4.0	0.0	4.0	0.0	1.0	7
	Gossow	1986	4	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333	7
	ludde1	1979	3	1.0	1.0	0.0	1.0	0.0	6
	modestyclara	1979	3	3.0	0.0	3.0	0.0	1.0	6
	Danneli	1986	4	4.0	2.0	2.0	0.5	0.5	7
	hannis	1979	3	1.0	0.0	1.0	0.0	1.0	6
	dorothea	1976	3	1.0	0.0	1.0	0.0	1.0	5
	ballerinamuffins	1985	4	1.0	1.0	0.0	1.0	0.0	7
	AW76	1977	3	2.0	0.0	2.0	0.0	1.0	5
	vivi85	1986	4	1.0	1.0	0.0	1.0	0.0	7
	student	1982	3	2.0	0.0	2.0	0.0	1.0	6
	Emeli	1954	1	1.0	0.0	1.0	0.0	1.0	2
	stardream	1981	3	1.0	1.0	0.0	1.0	0.0	6
