year	c_to_c	c_to_i	i_to_c	i_to_i	n_to_c	n_to_i
2000	0.0	0.0	0.0	0.0	0.0	0.0
2001	0.0	0.0	0.0	0.0	0.0	0.0
2002	0.0	0.0	0.0	0.0	0.0	0.0
2003	0.0	0.0	0.0	0.0	0.0	0.0
2004	0.0	0.0	0.0	0.0	0.0	0.0
2005	0.0	0.0	0.0	0.0	0.0	0.0
2006	0.0	0.0	0.0	0.0	0.0	0.0
2007	0.0	0.0	0.0	0.0	0.0	0.0
2008	0.0	0.0	0.0	0.0	0.0	0.0
2009	0.0	0.0	0.0	0.0	0.0	0.0
2010	0.0	0.0	0.0	0.0	0.0	0.0
2011	0.0	0.0	0.0	0.0	0.0	0.0
2012	0.0	0.0	0.0	0.0	0.0	0.0
2013	0.0	0.0	0.0	0.0	0.0	0.0
2014	0.0	0.0	0.0	0.0	0.0	0.0
2015	0.0	0.0	0.0	0.0	0.0	0.0
2016	0.0	0.0	0.0	0.0	0.0	0.0
2017	0.0	0.0	0.0	0.0	0.0	0.0
2018	0.0	0.0	0.0	0.0	0.0	0.0
2019	0.0	0.0	0.0	0.0	0.0	0.0
2020	0.0	0.0	0.0	0.0	0.0	0.0
2021	0.0	0.0	0.0	0.0	0.0	0.0
2022	0.0	0.0	0.0	0.0	0.0	0.0
