unique_id	token_id	sentence	maincorpus	subcorpus	year
1	12	Han bodde nära ett telefonbolag i Los Angeles och såg dagligen hur de slängde sina telefonloggar .	bloggmix	BLOGGMIX1999	1999
2	7	Men under en längre tid så kommer de gamla mynten och sedlarna kunna växlas in .	bloggmix	BLOGGMIX1999	1999
3	0	De har också producerat programvara som ordbehandling och nätkommunikation .	bloggmix	BLOGGMIX1999	1999
4	0	De förslag som kommissionen utarbetar behandlas sedan i Europaparlamentet och ministerrådet innan de slutligen träder i kraft .	bloggmix	BLOGGMIX1999	1999
5	12	De förslag som kommissionen utarbetar behandlas sedan i Europaparlamentet och ministerrådet innan de slutligen träder i kraft .	bloggmix	BLOGGMIX1999	1999
6	1	Och de träffas två gånger om året och dessa möten är stora händelser .	bloggmix	BLOGGMIX1999	1999
7	3	Dock så kommer de gamla betalningsmedlen att tillåtas under steg två , först under steg tre blir euron det enda tillåtna betalningsmedlet .	bloggmix	BLOGGMIX1999	1999
8	0	De viktigaste fångsterna efter värde utgörs i övrigt av lax samt tonfiskar .	bloggmix	BLOGGMIX1999	1999
9	9	Om kommissionen bedömer att ansökarlandet har förmågan att uppfylla de grundläggande kriterierna för medlemskap kan den föreslå att förhandlingar inleds .	bloggmix	BLOGGMIX1999	1999
10	7	Han har aldrig tagit en krona för de hacks han gjort , han har heller aldrig brutit sig in i någon bank för peronlig vinning i form av pengar .	bloggmix	BLOGGMIX1999	1999
11	7	Kommissionen har 20 ledamöter , en av dem är ordförande .	bloggmix	BLOGGMIX1999	1999
12	1	Under de följande åren kom man att expandera kraftigt och man fick en hel del nya medlemsländer , ett var Sverige .	bloggmix	BLOGGMIX1999	1999
13	11	Kevin brukade koppla om telefonledningarna både elektroniskt och fysiskt så att de inte kunde spåra honom .	bloggmix	BLOGGMIX1999	1999
14	7	År 1957 kunde alla se hur bra de olika länderna samarbetade och hur mycket peng de tjänade , inte minst dom själva .	bloggmix	BLOGGMIX1999	1999
15	15	År 1957 kunde alla se hur bra de olika länderna samarbetade och hur mycket peng de tjänade , inte minst dom själva .	bloggmix	BLOGGMIX1999	1999
16	0	De största koncernerna med huvudkontor i Detroit är nu General Motors , Ford och Chrysler .	bloggmix	BLOGGMIX1999	1999
17	0	De får alltså sitta kvar även om ett regeringsskifte sker i hemlandet .	bloggmix	BLOGGMIX1999	1999
18	3	Däremot så är de andra tio ledamöterna f.d. esteter så dom är operasångare hela högen .	bloggmix	BLOGGMIX1999	1999
19	11	Den dagen det blev börsnoterat kostade ett hundra aktier $2,250 , de hundra aktierna motsvarar idag ca 75 000 aktier , till ett värde av $2,8 miljoner .	bloggmix	BLOGGMIX1999	1999
20	20	Därför är det viktigt att man som individualist kan genomskåda och granska politikers , reklammakares och andra talares knep uppfatta dem just som knep samtidigt som man inte ska ryckas med i något man egentligen inte stödjer .	bloggmix	BLOGGMIX1999	1999
21	0	De ska kunna ta vara på de skyldigheter som följer av ett medlemskap och ansluta sig till målen för den politiska , ekonomiska och monetära unionen .	bloggmix	BLOGGMIX1999	1999
22	6	De ska kunna ta vara på de skyldigheter som följer av ett medlemskap och ansluta sig till målen för den politiska , ekonomiska och monetära unionen .	bloggmix	BLOGGMIX1999	1999
