"word"	"Totalt"	"SVT nyheter 2017"
"Σ"	"7826"	"7826"
"bli"	"726"	"726"
"vara"	"674"	"674"
"få"	"395"	"395"
"fortsätta"	"278"	"278"
"kunna"	"247"	"247"
"ta"	"242"	"242"
"ha"	"234"	"234"
"gå"	"222"	"222"
"göra"	"200"	"200"
"finnas"	"139"	"139"
"behöva"	"110"	"110"
"ske"	"86"	"86"
"se"	"85"	"85"
"hålla"	"83"	"83"
"påverka"	"66"	"66"
"innebära"	"66"	"66"
"leda"	"63"	"63"
"ge"	"63"	"63"
"hända"	"62"	"62"
"pågå"	"57"	"57"
"ligga"	"56"	"56"
"hållas"	"54"	"54"
"stå"	"47"	"47"
"öka"	"45"	"45"
"komma"	"44"	"44"
"jobba"	"43"	"43"
"börja"	"42"	"42"
"kosta"	"41"	"41"
"tas"	"37"	"37"
"dröja"	"37"	"37"
"åka"	"35"	"35"
"spela"	"33"	"33"
"följa"	"31"	"31"
"hamna"	"29"	"29"
"lämna"	"27"	"27"
"överklaga"	"26"	"26"
"sluta"	"26"	"26"
"försöka"	"25"	"25"
"äga"	"24"	"24"
"påverkas"	"24"	"24"
"krävas"	"24"	"24"
"delta"	"24"	"24"
"byggas"	"24"	"24"
"ställa"	"23"	"23"
"möta"	"23"	"23"
"göras"	"23"	"23"
"arbeta"	"23"	"23"
"klara"	"22"	"22"
"slå"	"21"	"21"
"hjälpa"	"21"	"21"
"genomföra"	"21"	"21"
"titta"	"20"	"20"
"hinna"	"20"	"20"
"fungera"	"20"	"20"
"skriva"	"19"	"19"
"genomföras"	"19"	"19"
"dra"	"19"	"19"
"användas"	"19"	"19"
"vinna"	"18"	"18"
"vilja"	"18"	"18"
"tävla"	"18"	"18"
"stanna"	"18"	"18"
"spelas"	"18"	"18"
"lägga"	"18"	"18"
"bidra"	"18"	"18"
"behövas"	"18"	"18"
"sitta"	"17"	"17"
"låta"	"17"	"17"
"föras"	"17"	"17"
"driva"	"17"	"17"
"bärgas"	"17"	"17"
"sakna"	"16"	"16"
"rösta"	"16"	"16"
"gälla"	"16"	"16"
"försvinna"	"16"	"16"
"visa"	"15"	"15"
"utreda"	"15"	"15"
"tvingas"	"15"	"15"
"skapa"	"15"	"15"
"märka"	"15"	"15"
"köra"	"15"	"15"
"kräva"	"15"	"15"
"hitta"	"15"	"15"
"förhöras"	"15"	"15"
"handla"	"14"	"14"
"bestå"	"14"	"14"
"yrka"	"13"	"13"
"ställas"	"13"	"13"
"starta"	"13"	"13"
"minska"	"13"	"13"
"läggas"	"13"	"13"
"drabbas"	"13"	"13"
"begära"	"13"	"13"
"söka"	"12"	"12"
"synas"	"12"	"12"
