variable	nvariants	query
ss_mej	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'mig'+%25c+%7C+word+=+'dig'+%25c+%7C+word+=+'sig'+%25c])+%7C+([word+=+'mej'+%25c+%7C+word+=+'dej'+%25c+%7C+word+=+'sej'+%25c]))&corpus=flashback-dator&subcqp0=[word+=+'mig'+%25c+%7C+word+=+'dig'+%25c+%7C+word+=+'sig'+%25c]&subcqp1=[word+=+'mej'+%25c+%7C+word+=+'dej'+%25c+%7C+word+=+'sej'+%25c]
ss_kommer_att	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'kommer'+%25c]+[word+=+'att'+%25c]+[pos+=+'VB'+%26+msd+=+'.*INF.*'])+%7C+([word+=+'kommer'+%25c]+[pos+=+'VB'+%26+msd+=+'.*INF.*']))&corpus=flashback-dator&subcqp0=[word+=+'kommer'+%25c]+[word+=+'att'+%25c]+[pos+=+'VB'+%26+msd+=+'.*INF.*']&subcqp1=[word+=+'kommer'+%25c]+[pos+=+'VB'+%26+msd+=+'.*INF.*']
ss_naan_asterisk	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'n%C3%A5gon.*'+%25c+%7C+word+=+'n%C3%A5got.*'+%25c+%7C+word+=+'n%C3%A5gra.*'+%25c+])+%7C+([(word+=+'n%C3%A5n.*'+%25c+%26+word+!=+'n%C3%A5n%C3%A5'+%25c)+%7C+(word+=+'n%C3%A5t.*'+%25c+%26+pos+!=+'VB')+%7C+(word+=+'n%C3%A5ra.*'+%25c)+%7C+(word+=+'n%C3%A5rra.*'+%25c)]))&corpus=flashback-dator&subcqp0=[word+=+'n%C3%A5gon.*'+%25c+%7C+word+=+'n%C3%A5got.*'+%25c+%7C+word+=+'n%C3%A5gra.*'+%25c+]&subcqp1=[(word+=+'n%C3%A5n.*'+%25c+%26+word+!=+'n%C3%A5n%C3%A5'+%25c)+%7C+(word+=+'n%C3%A5t.*'+%25c+%26+pos+!=+'VB')+%7C+(word+=+'n%C3%A5ra.*'+%25c)+%7C+(word+=+'n%C3%A5rra.*'+%25c)]
med_vs_paa_kort_varsel	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([lex+contains+'med%5C.%5C.pp%5C.1']+[lex+contains+'kort%5C.%5C.av%5C.1']+[lex+contains+'varsel%5C.%5C.nn%5C.1'])+%7C+([lex+contains+'p%C3%A5%5C.%5C.pp%5C.1']+[lex+contains+'kort%5C.%5C.av%5C.1']+[lex+contains+'varsel%5C.%5C.nn%5C.1']))&corpus=flashback-dator&subcqp0=[lex+contains+'med%5C.%5C.pp%5C.1']+[lex+contains+'kort%5C.%5C.av%5C.1']+[lex+contains+'varsel%5C.%5C.nn%5C.1']&subcqp1=[lex+contains+'p%C3%A5%5C.%5C.pp%5C.1']+[lex+contains+'kort%5C.%5C.av%5C.1']+[lex+contains+'varsel%5C.%5C.nn%5C.1']
de_filtered_subj	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([word+=+'de'+%25c++%26+(pos+=+'PN')+%26+(deprel+=+'SS'+%7C+deprel+=+'FS'+%7C+deprel+=+'ES')]+[word+!=+'som'+%25c])&corpus=flashback-dator
dem_filtered_subj	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([word+=+'dem'+%25c++%26+(pos+=+'PN')+%26+(deprel+=+'SS'+%7C+deprel+=+'FS'+%7C+deprel+=+'ES')]+[word+!=+'som'+%25c])&corpus=flashback-dator
dom_filtered_subj	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([deprel+!=+'DT'+%26+deprel+!=+'AT']+[word+=+'dom'+%25c++%26+(pos+=+'PN')+%26+(deprel+=+'SS'+%7C+deprel+=+'FS'+%7C+deprel+=+'ES')]+[word+!=+'som'+%25c])&corpus=flashback-dator
de_filtered	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([word+=+'de'+%25c++%26+(pos+=+'PN'+%7C+pos+=+'DT')])&corpus=flashback-dator
dem_filtered	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([word+=+'dem'+%25c++%26+(pos+=+'PN'+%7C+pos+=+'DT')])&corpus=flashback-dator
demsom_vs_desom	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([(word+=+'dem'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+=+'som'+%25c])+%7C+([(word+=+'de'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+=+'som'+%25c]))&corpus=flashback-dator&subcqp0=[(word+=+'dem'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+=+'som'+%25c]&subcqp1=[(word+=+'de'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+=+'som'+%25c]
pp_demsom_vs_desom	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([pos+=+%22PP%22]+[(word+=+'dem'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+=+'som'+%25c])+%7C+([pos+=+'PP']+[(word+=+'de'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+=+'som'+%25c]))&corpus=flashback-dator&subcqp0=[pos+=+%22PP%22]+[(word+=+'dem'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+=+'som'+%25c]&subcqp1=[pos+=+'PP']+[(word+=+'de'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+=+'som'+%25c]
