year	cusers_to_cusers	cusers_to_iusers	cusers_to_nusers	total
2000	0.36363636363636365	0.0	0.6363636363636364	11.0
2001	0.0	0.0	1.0	2.0
2002	0.5	0.0	0.5	8.0
2003	0.0	0.0	1.0	4.0
2004	0.46153846153846156	0.0	0.5384615384615384	39.0
2005	0.49612403100775193	0.0	0.5038759689922481	129.0
2006	0.46405228758169936	0.06535947712418301	0.47058823529411764	306.0
2007	0.4245614035087719	0.1456140350877193	0.4298245614035088	570.0
2008	0.35805860805860806	0.2793040293040293	0.3626373626373626	1092.0
2009	0.362420830401126	0.26952850105559467	0.3680506685432794	1421.0
2010	0.3505747126436782	0.2955665024630542	0.35385878489326766	2436.0
2011	0.336697247706422	0.3201834862385321	0.3431192660550459	2180.0
2012	0.33355704697986577	0.32483221476510066	0.3416107382550336	1490.0
2013	0.3273716951788491	0.3297045101088647	0.3429237947122862	1286.0
2014	0.32665832290362956	0.3341677096370463	0.33917396745932415	799.0
2015	0.3098958333333333	0.3411458333333333	0.3489583333333333	384.0
2016	0.3202614379084967	0.3333333333333333	0.3464052287581699	306.0
2017	0.2966507177033493	0.3444976076555024	0.3588516746411483	209.0
2018	0.29955947136563876	0.34801762114537443	0.3524229074889868	227.0
2019	0.2937853107344633	0.3502824858757062	0.3559322033898305	177.0
2020	0.2985781990521327	0.3459715639810427	0.35545023696682465	211.0
2021	0.30578512396694213	0.34710743801652894	0.34710743801652894	242.0
2022	0.3121951219512195	0.3463414634146341	0.34146341463414637	205.0
